book_id,goodreads_book_id,membership0,membership1,membership2,membership3,membership4,membership5,membership6,membership7,membership8,membership9,membership10,membership11,membership12,membership13,membership14,membership15,membership16,membership17,membership18,membership19,membership20,membership21,membership22,membership23,membership24
27,1,0.016450279624298497,0.3488510063289694,0.0034337869230537366,0.008958510307657614,0.008958510307657614,0.0902961256985442,0.03461040340167319,0.03461040340167319,0.008958510307657614,0.008958510307657614,0.016450279624298497,0.008958510307657614,0.03461040340167319,0.03461040340167319,0.03461040340167319,0.008958510307657614,0.008958510307657614,0.03461040340167319,0.008958510307657614,0.016450279624298497,0.03461040340167319,0.0902961256985442,0.03461040340167319,0.03461040340167319,0.03461040340167319
21,2,0.006897936150431724,0.4490340948240298,0.004419902407728795,0.004419902407728795,0.004419902407728795,0.021174473590978567,0.04454982465582834,0.011531216748669375,0.004419902407728795,0.004419902407728795,0.021174473590978567,0.011531216748669375,0.04454982465582834,0.04454982465582834,0.04454982465582834,0.004419902407728795,0.004419902407728795,0.04454982465582834,0.004419902407728795,0.021174473590978567,0.04454982465582834,0.021174473590978567,0.04454982465582834,0.04454982465582834,0.04454982465582834
2,3,0.03199532768326608,0.08347357575481586,0.0049540425619259126,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586,0.08347357575481586,0.015207337543928796,0.015207337543928796,0.08347357575481586,0.015207337543928796,0.03199532768326608,0.08347357575481586,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586
18,5,0.03199532768326608,0.08347357575481586,0.0049540425619259126,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586,0.08347357575481586,0.015207337543928796,0.015207337543928796,0.08347357575481586,0.015207337543928796,0.03199532768326608,0.08347357575481586,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586
24,6,0.03199532768326608,0.08347357575481586,0.0049540425619259126,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.015207337543928796,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586,0.08347357575481586,0.015207337543928796,0.015207337543928796,0.08347357575481586,0.015207337543928796,0.03199532768326608,0.08347357575481586,0.03199532768326608,0.015207337543928796,0.08347357575481586,0.08347357575481586
54,11,0.11615558492612119,0.0054773866702186105,0.0017843496018947638,0.03006555551451187,0.03006555551451187,0.11615558492612119,0.0054773866702186105,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.011524093606481649,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.03006555551451187,0.11615558492612119,0.03006555551451187,0.11615558492612119,0.03006555551451187,0.03006555551451187,0.03006555551451187
337,13,0.07864363744341281,0.012176900670503362,0.005268923163723101,0.03737921836974455,0.03737921836974455,0.07864363744341281,0.012176900670503362,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.020356013435961353,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.03737921836974455,0.07864363744341281,0.03737921836974455,0.07864363744341281,0.03737921836974455,0.03737921836974455,0.03737921836974455
374,21,0.04122759688637326,0.012555908852371074,0.012555908852371074,0.06891979649504038,0.06891979649504038,0.01783910751160548,0.026416880465260414,0.026416880465260414,0.06891979649504038,0.06891979649504038,0.04122759688637326,0.06891979649504038,0.026416880465260414,0.026416880465260414,0.026416880465260414,0.06891979649504038,0.06891979649504038,0.026416880465260414,0.06891979649504038,0.04122759688637326,0.026416880465260414,0.01783910751160548,0.026416880465260414,0.026416880465260414,0.026416880465260414
189,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
388,50,0.2646488105777681,0.000674267838761023,0.000674267838761023,0.026256487519580127,0.026256487519580127,0.006796193946577078,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.2646488105777681,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.026256487519580127,0.006796193946577078,0.026256487519580127,0.006796193946577078,0.0026049734943482143,0.026256487519580127,0.026256487519580127
639,93,0.2144292449739141,0.0005463192646136332,0.0005463192646136332,0.02127407556527114,0.02127407556527114,0.005506553131598429,0.0021106556207476494,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.2144292449739141,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.02127407556527114,0.2144292449739141,0.02127407556527114,0.005506553131598429,0.0021106556207476494,0.02127407556527114,0.02127407556527114
