user_id,book_id,rating
1296,111,3
1296,2,5
1296,21,5
1296,24,5
1296,27,5
1296,23,5
1296,18,5
1296,26,4
1296,11,4
1296,50,5
1296,13,4
1296,8,4
1296,28,5
1296,65,5
1296,7,5
1296,32,4
1296,101,4
1296,58,4
1296,36,5
1296,22,3
1296,33,4
1296,57,5
1296,495,4
1296,100,5
1296,122,4
1296,9,4
1296,483,4
1296,38,4
1296,113,4
1296,405,5
1296,19,4
1296,45,5
1296,5,4
1296,660,3
1296,170,3
1296,78,3
1296,138,3
1296,119,5
1296,325,2
1296,150,5
1296,207,5
1296,496,5
1296,297,5
1296,476,4
1296,227,4
1296,86,4
1296,123,4
1296,343,3
1296,281,3
1296,596,3
1296,64,5
1296,84,5
1296,487,5
1296,575,5
1296,693,2
1296,354,4
3087,33,4
3087,28,4
3087,32,4
3087,14,3
3087,58,5
3087,65,3
3087,22,4
3087,60,5
3087,115,5
3087,57,3
3087,9,3
3087,38,3
3087,29,5
3087,45,5
3087,100,3
3087,67,5
3087,35,5
3087,40,3
3087,119,3
3087,122,4
3087,121,5
3087,94,4
3087,495,5
3087,42,3
3087,287,5
3263,11,4
3263,178,5
3263,323,5
3263,416,5
3263,158,5
3263,335,5
3263,184,5
3263,127,4
3263,479,3
3263,121,5
3263,205,2
3263,696,3
3263,155,4
3263,19,4
3263,213,5
3263,372,5
3263,468,5
3263,116,5
3263,357,3
3263,278,5
3263,85,5
3263,117,5
3263,48,5
3263,337,3
3263,154,4
3263,125,4
3263,161,5
3263,35,5
3263,36,5
3263,344,5
3263,7,3
3263,58,5
3263,50,5
3263,55,4
3263,28,5
3263,65,2
3263,26,1
3263,101,5
3263,25,5
3263,23,5
3263,18,5
3263,21,5
3263,24,5
3263,27,5
3263,2,5
3263,5,5
3263,8,5
3263,4,5
3263,561,5
3263,22,3
3263,80,3
3263,42,3
3263,219,3
3263,37,4
3263,130,5
3263,102,5
3263,354,1
3263,189,5
3263,248,2
3263,93,3
3263,332,3
3263,204,2
3263,538,1
3263,361,3
3263,347,2
3263,257,5
3263,529,3
3263,413,4
3263,545,5
3263,245,3
3263,287,1
3263,401,3
3263,264,3
3263,345,3
3263,53,3
3263,94,4
3263,171,4
3263,76,4
3263,10,5
3263,773,5
3263,29,1
3263,14,5
3263,131,5
3263,57,3
3263,87,5
3263,353,1
3263,15,4
3263,32,5
3263,43,5
3263,78,3
3922,10,5
3922,230,3
3922,171,4
3922,76,5
3922,426,5
3263,408,5
3263,132,1
3263,427,5
3263,292,4
3263,602,4
3263,542,2
3263,301,3
3263,133,2
3263,157,4
3263,293,3
3263,375,3
3263,162,5
3263,284,1
3263,241,5
3263,118,5
3263,136,2
3263,409,5
3263,386,5
3263,33,5
3263,150,4
3263,122,5
4897,4,5
4897,5,3
4897,11,5
4897,13,4
4897,10,4
4897,33,5
4897,7,5
3263,62,5
3263,480,5
3263,368,5
6025,4,3
6025,25,5
6025,2,5
6025,27,4
6025,24,5
6025,21,5
6025,18,5
6025,23,5
6025,26,4
6025,11,4
6025,8,4
6025,5,4
6025,50,5
6025,13,3
6025,7,4
6025,33,2
6025,28,3
6025,32,4
6025,14,3
6025,58,4
6025,9,4
