goodreads_book_id,tag_name,title
1,fantasy,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,fiction,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,classics,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,paranormal,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,mystery,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,romance,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
1,contemporary,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
2,fantasy,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
2,fiction,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
2,paranormal,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
2,mystery,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
2,romance,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
3,fantasy,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,fiction,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,classics,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,paranormal,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,mystery,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,contemporary,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
5,fantasy,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
5,fiction,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
5,classics,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
5,paranormal,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
5,mystery,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
5,contemporary,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
6,fantasy,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
6,fiction,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
6,classics,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
6,paranormal,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
6,mystery,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
6,contemporary,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
8,fantasy,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,fiction,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,classics,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,paranormal,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,mystery,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,contemporary,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
8,thriller,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
10,fantasy,"Harry Potter Collection (Harry Potter, #1-6)"
10,fiction,"Harry Potter Collection (Harry Potter, #1-6)"
10,classics,"Harry Potter Collection (Harry Potter, #1-6)"
10,paranormal,"Harry Potter Collection (Harry Potter, #1-6)"
10,mystery,"Harry Potter Collection (Harry Potter, #1-6)"
10,contemporary,"Harry Potter Collection (Harry Potter, #1-6)"
10,youngadult,"Harry Potter Collection (Harry Potter, #1-6)"
11,fantasy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
11,fiction,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
11,classics,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
11,contemporary,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
11,science,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
11,ebooks,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
13,fantasy,The Ultimate Hitchhiker's Guide to the Galaxy
13,fiction,The Ultimate Hitchhiker's Guide to the Galaxy
13,classics,The Ultimate Hitchhiker's Guide to the Galaxy
